sent0,sent1
"Vâng, tôi thậm chí không nghĩ về điều đó, nhưng tôi đã rất thất vọng, và, tôi lại nói chuyện với anh ta lần nữa.",I was so upset that I just started talking to him again.
而我当初认为这是一个特权，我现在仍然这样想，我是唯一的922 Ex-O，也是我的AFFC空军职业生涯。,I was under the impression that I was the only one with that number at the AFFC Air Force Career field.
Sonunda tanışmam için bir adam tarafından çağrılmamı söylediler.,I was told a guy would be called in for me to meet.
هناك الكثير تستطيع التحدث عنه  وأنا سوف أتاجاوز ذلك تماما .,"I won't talk about that, even though there's a lot to cover."
"Това беше основното нещо, което искахме да спасим, тъй като нямаше начин да хвърлим 20-мегатонна водородна бомба от 30, C124.",We wanted to save one thing more than the rest.
Neden olduğunu gerçekten bilmiyorum.,I don't know why that happened.
"Voivi Fannie Flono, et elle a grandi à Ag- Augusta, GA, et elle va parler de quelques histoires de son enfance.","Fannie Flono is here and she is going to speak to us about her childhood stories from growing up in Augusta, GA."
اور میں نے 5 میں سے دو علیحدہ کئے تھے۔,I dealt with the U2's.
"Tôi là người duy nhất mà uh, từng điều hành các bộ điều chỉnh cho ờ, cho phần thử nghiệm trong các buồng áp lực cỡ nhỏ.",Tests were done in the miniature altitude chambers.
ผมมียศเป็นพันจ่าอากาศเอก ตอนนี้เกษียณแล้ว ตามที่ริคบอกนั่นแหละ,Rick told you I was retired.
"Има някакви прогнози за паричните потоци на бюрото ми и, е, за някой си Cutty, това е името на клиента.",There is a client named Cutty.
ผู้หญิงที่ช่วยฉันได้มีอยู่ทั่วเมือง,The girl I need help from lives a ways away.
لیکن وہ اس طرح تقسیم ہوئے تھے جیسے فیلڈ ہاتھ تھے اور جو گھر کے بچوں تھے،یہ قسم کی تھی --,They couldn't agree about who was a field hand and who belonged in the house.
"آج وہ ہم سے                                             سوم SS,   U2 Quick اور Blackbird        کے بارے میں  بات کرنے والا ہے۔",He talks about three things.
"Demek istediğim, sadece beş çocuğu vardı, biri öldü.",One child died out of the five.
"Et, bien sûr, Androv Gromikov n'a rien répondu, mais nous avions toute l'information des films que le U2 avait pris.",The U2 took a lot of film.
"Dijo que le caían lágrimas de los ojos, y después dijo que Joe fue hasta el porche.",As she told him to come up the porch she had tears in her eyes.
"Hata kama ndege ile ilikuwa inateketea, kwa nini, ingekuwa uh, teketea and ingeweza kuyeyuka kwa sehemu ya risasi ili mionzi kuvuja.",The radiation would leak out from a lead component after the aircraft burned.
"Este es el sargento jefe maestro Clem Francis, jubilado de las fuerzas aéreas estadounidenses.",The Chief is retired from the US Air Force.
"Eh bien, c'est arrivé là où deux ou trois appareils arrivent en une semaine et je ne savais pas où ils volaient.",More than one aircraft arrive every week.
لقد تلقوا تدريبهم من قبل بملابس الضغط الكاملة واخذت مني وقتا إذا ارتديت بدلات الضغط الكاملة .,Training to use a full pressure suit takes time.
"Ich möchte sagen, dass es keine Gefahr gab mit der Bombe in die Luft zu gehen, weil sie nicht explodieren würde, egal wie hart sie auf dem Boden aufschlug.",The bomb had no chance of exploding.
और यह  बिल्कुल वैसा लग रहा है जैसा मैं इसे करने की कोशिश कर रहा हूं,"I'm trying to do this, obviously."
"खैर जो भी हो, जानवर सरे हर भर खुल जाते थे, खास करके बकरिया ।",The goats escaped often.
