sent0,hard_neg
"Eh bien, je ne pensais même pas à cela, mais j'étais si frustré, et j'ai fini par lui reparler.",I havent spoken to him again.
"Ve bunun bir ayrıcalık olduğunu sanıyordum, ve hala, hala benim, AFFC Hava Kuvvetleri Kariyer alanım olan dokuz tane iki iki X-O'ydu.","We all were given the same exact number no matter what privileges we were promised to be granted, it was all a lie."
"Họ nói với tôi rằng, ừ, rằng tôi sẽ được gọi bởi một chàng trai vào cuối cùng để gặp nhau.",I was never told anything about meeting anyone.
你可以讲的太多了，我就不提了。,I want to tell you everything I know about that!
"Es war das Wichtigste was wir sichern wollten da es keine Möglichkeit gab eine 20 Megatonnen- H- Bombe ab zu werfen von einem 30, C124.",We didn't care about saving anything.
Donc je ne sais pas vraiment pourquoi.,I am certain as to the reason why.
"Huyu ni Fannie Flono, na yeye alikulia Ag - Augusta, GA, na yeye atakuja kuzungumza kuhusu baadhi ya hadithi kutoka utoto wake.",Fannie Flono had to reschedule and is unable to tell us any stories today.
И мне пришлось сделать 5 разъединений из U2.,I didn't' deal with the U2's at all.
我是唯一一个，呃，在微型的高度室里做测试一直运行调节器的人。,There were a few of us who ran the regulators for the test.
"मै , चीफ मास्टर सार्जेंट हु, विरत, जैसे रिक ने कहा ।",I am still working to this day.
"मेरे मेंज पर कुछ पैसे की गति की रुपरेखा की प्रोजेक्शन है और वह ये और ये कुट्टी के लिए है, जो की क्लाइंट का नाम है ।",We don't have any clients called Cutty.
Huyu msichana anaweza kukusaidia kuenda popote utakapo mjini.,There is no one who can help me.
لیکن وہ اس طرح تقسیم ہوئے تھے جیسے فیلڈ ہاتھ تھے اور جو گھر کے بچوں تھے،یہ قسم کی تھی --,They all agreed that they'd all work in the fields.
"आज वह तीसरा एस एस, यू 2 त्वरित और ब्लैक के बारे में हमें बात करने के लिए जा रहा है।",He has decided not to talk anymore.
میرا مطلب یہ ہے کہ وہ صرف جیسے ہی تھے، ان کے پانچ بچے تھے، ان میں سے ایک مر گیا.,All of their children survived.
"Và, đương nhiên, Androv Gromikov không trả lời điều gì, nhưng chúng tôi có tất cả các thông tin từ những thước phim do U2 cung cấp.","We had no footage, so we just had to guess."
اس نے کہا کے اس کی آنکھیں سے آنسو بہ رہی تھیں ، پھر جو چھتاً پر آگیا,She quickly wiped away the tears after flinging Joe off the porch.
"Même si l'avion était en feu, pourquoi est-ce que, est-ce qu'il euh, brûlerait et fondrait à travers une composante de plomb pour que le rayonnement s'échappe.",The radiation would not leak out during a fire.
"Bu, ABD Hava Kuvvetleri'nden emekli olan Astsubay Kıdemli Başçavuş Clem Francis'tir.",The US Air Force Chief just started his career this week.
फिर ऐसे होने लगा की हफ्ते में दो से तीन हवाईजहाज आने लगी और कहा जा रही है इसका पता ही नहीं था मुझे |,There are never any aircraft arriving.
"Те вече бяха преминали обучението си във височинните костюми, а отнема известно време, ако облечете височинните костюми.",We could have you trained to use a full pressure suit by the end of the day.
"Tôi muốn nói rằng không có nguy cơ nào xảy ra với quả bom vì nó sẽ không nổ tung, bất kể nó khó đến thế nào.",There was a great danger of the bomb exploding.
اور اس طرح کی طرح ایسا لگتا ہے کہ میں وہی کرنے کی کوشش کر رہا ہوں.,I'm not sure what this looks like to you.
"Aber trotzdem laufen die Tiere ständig davon, besonders die Ziegen.",The goats were kept safe and secure.
Les portes étaient fermées lorsque nous sommes entrés.,All of the doors were open.
"Donc, j’ai juste eu à prendre les totaux et à essayer de les mettre sous forme graphique.",I have no clue what to do with just the totals please give me more details to figure out this mess.
أتى ، فتح الباب وأتذكر أني نظرت إلى الخلف ورأيت تعابير قسمات وجه واستطيع القول أنه كان محبطا .,He was so excited and bursting with joy that he practically knocked the door off it's frame.
